"Locus"	"allele"	"count"	"frequency"
"Olur10"	"202"	2	0.0102040816326531
"Olur10"	"214"	25	0.127551020408163
"Olur10"	"216"	2	0.0102040816326531
"Olur10"	"220"	2	0.0102040816326531
"Olur10"	"222"	2	0.0102040816326531
"Olur10"	"226"	2	0.0102040816326531
"Olur10"	"228"	4	0.0204081632653061
"Olur10"	"232"	8	0.0408163265306122
"Olur10"	"234"	6	0.0306122448979592
"Olur10"	"238"	21	0.107142857142857
"Olur10"	"240"	14	0.0714285714285714
"Olur10"	"244"	5	0.0255102040816327
"Olur10"	"246"	6	0.0306122448979592
"Olur10"	"250"	7	0.0357142857142857
"Olur10"	"252"	2	0.0102040816326531
"Olur10"	"256"	1	0.00510204081632653
"Olur10"	"268"	3	0.0153061224489796
"Olur10"	"270"	5	0.0255102040816327
"Olur10"	"274"	13	0.0663265306122449
"Olur10"	"276"	5	0.0255102040816327
"Olur10"	"280"	6	0.0306122448979592
"Olur10"	"282"	9	0.0459183673469388
"Olur10"	"286"	4	0.0204081632653061
"Olur10"	"288"	7	0.0357142857142857
"Olur10"	"292"	8	0.0408163265306122
"Olur10"	"294"	9	0.0459183673469388
"Olur10"	"298"	6	0.0306122448979592
"Olur10"	"300"	2	0.0102040816326531
"Olur10"	"304"	6	0.0306122448979592
"Olur10"	"310"	3	0.0153061224489796
"Olur10"	"316"	1	0.00510204081632653
"Olur11"	"135"	1	0.00531914893617021
"Olur11"	"139"	2	0.0106382978723404
"Olur11"	"140"	37	0.196808510638298
"Olur11"	"144"	44	0.234042553191489
"Olur11"	"150"	1	0.00531914893617021
"Olur11"	"152"	5	0.0265957446808511
"Olur11"	"156"	5	0.0265957446808511
"Olur11"	"158"	2	0.0106382978723404
"Olur11"	"162"	73	0.388297872340426
"Olur11"	"164"	9	0.0478723404255319
"Olur11"	"168"	2	0.0106382978723404
"Olur11"	"171"	4	0.0212765957446809
"Olur11"	"174"	2	0.0106382978723404
"Olur11"	"176"	1	0.00531914893617021
"Olur12"	"178"	42	0.21
"Olur12"	"182"	4	0.02
"Olur12"	"240"	2	0.01
"Olur12"	"248"	2	0.01
"Olur12"	"250"	7	0.035
"Olur12"	"254"	31	0.155
"Olur12"	"256"	12	0.06
"Olur12"	"260"	15	0.075
"Olur12"	"262"	13	0.065
"Olur12"	"266"	40	0.2
"Olur12"	"268"	24	0.12
"Olur12"	"272"	6	0.03
"Olur12"	"274"	1	0.005
"Olur12"	"284"	1	0.005
"Olur13"	"237"	9	0.046875
"Olur13"	"241"	6	0.03125
"Olur13"	"245"	9	0.046875
"Olur13"	"249"	15	0.078125
"Olur13"	"253"	3	0.015625
"Olur13"	"257"	15	0.078125
"Olur13"	"261"	15	0.078125
"Olur13"	"265"	8	0.0416666666666667
"Olur13"	"269"	2	0.0104166666666667
"Olur13"	"273"	12	0.0625
"Olur13"	"277"	26	0.135416666666667
"Olur13"	"281"	18	0.09375
"Olur13"	"285"	14	0.0729166666666667
"Olur13"	"289"	11	0.0572916666666667
"Olur13"	"293"	22	0.114583333333333
"Olur13"	"297"	3	0.015625
"Olur13"	"301"	4	0.0208333333333333
"Olur15"	"157"	7	0.0357142857142857
"Olur15"	"161"	6	0.0306122448979592
"Olur15"	"165"	9	0.0459183673469388
"Olur15"	"169"	15	0.076530612244898
"Olur15"	"175"	3	0.0153061224489796
"Olur15"	"177"	15	0.076530612244898
"Olur15"	"181"	15	0.076530612244898
"Olur15"	"185"	9	0.0459183673469388
"Olur15"	"189"	2	0.0102040816326531
"Olur15"	"193"	12	0.0612244897959184
"Olur15"	"197"	26	0.13265306122449
"Olur15"	"201"	19	0.0969387755102041
"Olur15"	"205"	16	0.0816326530612245
"Olur15"	"209"	11	0.0561224489795918
"Olur15"	"213"	22	0.112244897959184
"Olur15"	"217"	3	0.0153061224489796
"Olur15"	"221"	5	0.0255102040816327
"Olur15"	"229"	1	0.00510204081632653
"Olur19"	"209"	9	0.046875
"Olur19"	"213"	5	0.0260416666666667
"Olur19"	"217"	9	0.046875
"Olur19"	"221"	14	0.0729166666666667
"Olur19"	"225"	3	0.015625
"Olur19"	"229"	14	0.0729166666666667
"Olur19"	"233"	15	0.078125
"Olur19"	"237"	8	0.0416666666666667
"Olur19"	"241"	2	0.0104166666666667
"Olur19"	"245"	12	0.0625
"Olur19"	"249"	26	0.135416666666667
"Olur19"	"253"	19	0.0989583333333333
"Olur19"	"257"	16	0.0833333333333333
"Olur19"	"261"	11	0.0572916666666667
"Olur19"	"265"	21	0.109375
"Olur19"	"269"	3	0.015625
"Olur19"	"273"	4	0.0208333333333333
"Olur19"	"281"	1	0.00520833333333333
