"Locus"	"allele"	"count"	"frequency"
"Olur10"	"214"	10	0.0561797752808989
"Olur10"	"217"	1	0.00561797752808989
"Olur10"	"223"	1	0.00561797752808989
"Olur10"	"226"	4	0.0224719101123595
"Olur10"	"229"	1	0.00561797752808989
"Olur10"	"238"	11	0.0617977528089888
"Olur10"	"241"	8	0.0449438202247191
"Olur10"	"244"	2	0.0112359550561798
"Olur10"	"250"	22	0.123595505617978
"Olur10"	"253"	2	0.0112359550561798
"Olur10"	"256"	10	0.0561797752808989
"Olur10"	"268"	1	0.00561797752808989
"Olur10"	"271"	2	0.0112359550561798
"Olur10"	"274"	13	0.0730337078651685
"Olur10"	"277"	11	0.0617977528089888
"Olur10"	"280"	3	0.0168539325842697
"Olur10"	"283"	8	0.0449438202247191
"Olur10"	"286"	17	0.0955056179775281
"Olur10"	"289"	9	0.050561797752809
"Olur10"	"292"	22	0.123595505617978
"Olur10"	"295"	14	0.0786516853932584
"Olur10"	"298"	4	0.0224719101123595
"Olur10"	"301"	1	0.00561797752808989
"Olur10"	"307"	1	0.00561797752808989
"Olur11"	"138"	3	0.0159574468085106
"Olur11"	"141"	51	0.271276595744681
"Olur11"	"144"	32	0.170212765957447
"Olur11"	"147"	1	0.00531914893617021
"Olur11"	"150"	4	0.0212765957446809
"Olur11"	"153"	7	0.0372340425531915
"Olur11"	"156"	5	0.0265957446808511
"Olur11"	"159"	5	0.0265957446808511
"Olur11"	"162"	62	0.329787234042553
"Olur11"	"165"	5	0.0265957446808511
"Olur11"	"168"	1	0.00531914893617021
"Olur11"	"171"	4	0.0212765957446809
"Olur11"	"174"	1	0.00531914893617021
"Olur11"	"177"	6	0.0319148936170213
"Olur11"	"183"	1	0.00531914893617021
"Olur12"	"179"	37	0.198924731182796
"Olur12"	"182"	5	0.0268817204301075
"Olur12"	"239"	1	0.00537634408602151
"Olur12"	"248"	5	0.0268817204301075
"Olur12"	"251"	6	0.032258064516129
"Olur12"	"254"	38	0.204301075268817
"Olur12"	"257"	9	0.0483870967741935
"Olur12"	"260"	8	0.043010752688172
"Olur12"	"263"	14	0.0752688172043011
"Olur12"	"266"	53	0.28494623655914
"Olur12"	"269"	6	0.032258064516129
"Olur12"	"272"	2	0.010752688172043
"Olur12"	"275"	2	0.010752688172043
"Olur13"	"239"	2	0.010989010989011
"Olur13"	"243"	6	0.032967032967033
"Olur13"	"247"	8	0.043956043956044
"Olur13"	"251"	11	0.0604395604395604
"Olur13"	"255"	3	0.0164835164835165
"Olur13"	"259"	11	0.0604395604395604
"Olur13"	"263"	8	0.043956043956044
"Olur13"	"267"	1	0.00549450549450549
"Olur13"	"271"	14	0.0769230769230769
"Olur13"	"275"	11	0.0604395604395604
"Olur13"	"279"	8	0.043956043956044
"Olur13"	"283"	27	0.148351648351648
"Olur13"	"287"	24	0.131868131868132
"Olur13"	"291"	10	0.0549450549450549
"Olur13"	"295"	19	0.104395604395604
"Olur13"	"299"	12	0.0659340659340659
"Olur13"	"303"	3	0.0164835164835165
"Olur13"	"307"	2	0.010989010989011
"Olur13"	"311"	1	0.00549450549450549
"Olur13"	"315"	1	0.00549450549450549
"Olur15"	"157"	3	0.0159574468085106
"Olur15"	"161"	6	0.0319148936170213
"Olur15"	"165"	8	0.0425531914893617
"Olur15"	"169"	11	0.0585106382978723
"Olur15"	"173"	3	0.0159574468085106
"Olur15"	"177"	11	0.0585106382978723
"Olur15"	"181"	8	0.0425531914893617
"Olur15"	"185"	1	0.00531914893617021
"Olur15"	"189"	14	0.074468085106383
"Olur15"	"193"	11	0.0585106382978723
"Olur15"	"197"	9	0.0478723404255319
"Olur15"	"201"	29	0.154255319148936
"Olur15"	"205"	25	0.132978723404255
"Olur15"	"209"	11	0.0585106382978723
"Olur15"	"213"	19	0.101063829787234
"Olur15"	"217"	12	0.0638297872340425
"Olur15"	"221"	3	0.0159574468085106
"Olur15"	"225"	2	0.0106382978723404
"Olur15"	"229"	1	0.00531914893617021
"Olur15"	"233"	1	0.00531914893617021
"Olur17"	"196"	30	0.159574468085106
"Olur17"	"200"	4	0.0212765957446809
"Olur17"	"204"	2	0.0106382978723404
"Olur17"	"208"	1	0.00531914893617021
"Olur17"	"212"	2	0.0106382978723404
"Olur17"	"216"	6	0.0319148936170213
"Olur17"	"220"	4	0.0212765957446809
"Olur17"	"224"	6	0.0319148936170213
"Olur17"	"228"	7	0.0372340425531915
"Olur17"	"232"	10	0.0531914893617021
"Olur17"	"236"	12	0.0638297872340425
"Olur17"	"240"	20	0.106382978723404
"Olur17"	"244"	9	0.0478723404255319
"Olur17"	"248"	22	0.117021276595745
"Olur17"	"252"	24	0.127659574468085
"Olur17"	"256"	14	0.074468085106383
"Olur17"	"260"	7	0.0372340425531915
"Olur17"	"264"	2	0.0106382978723404
"Olur17"	"268"	4	0.0212765957446809
"Olur17"	"272"	1	0.00531914893617021
"Olur17"	"276"	1	0.00531914893617021
"Olur18"	"160"	38	0.228915662650602
"Olur18"	"164"	2	0.0120481927710843
"Olur18"	"212"	1	0.00602409638554217
"Olur18"	"220"	1	0.00602409638554217
"Olur18"	"224"	6	0.036144578313253
"Olur18"	"228"	1	0.00602409638554217
"Olur18"	"232"	6	0.036144578313253
