"Locus"	"allele"	"count"	"frequency"
"Olur10"	"208"	1	0.00505050505050505
"Olur10"	"211"	1	0.00505050505050505
"Olur10"	"214"	17	0.0858585858585859
"Olur10"	"217"	4	0.0202020202020202
"Olur10"	"223"	2	0.0101010101010101
"Olur10"	"226"	3	0.0151515151515152
"Olur10"	"232"	12	0.0606060606060606
"Olur10"	"235"	5	0.0252525252525253
"Olur10"	"238"	27	0.136363636363636
"Olur10"	"241"	26	0.131313131313131
"Olur10"	"244"	7	0.0353535353535354
"Olur10"	"247"	6	0.0303030303030303
"Olur10"	"250"	12	0.0606060606060606
"Olur10"	"253"	3	0.0151515151515152
"Olur10"	"256"	1	0.00505050505050505
"Olur10"	"259"	1	0.00505050505050505
"Olur10"	"265"	2	0.0101010101010101
"Olur10"	"268"	2	0.0101010101010101
"Olur10"	"274"	6	0.0303030303030303
"Olur10"	"277"	2	0.0101010101010101
"Olur10"	"280"	11	0.0555555555555556
"Olur10"	"283"	5	0.0252525252525253
"Olur10"	"286"	6	0.0303030303030303
"Olur10"	"289"	4	0.0202020202020202
"Olur10"	"292"	6	0.0303030303030303
"Olur10"	"295"	17	0.0858585858585859
"Olur10"	"298"	2	0.0101010101010101
"Olur10"	"301"	5	0.0252525252525253
"Olur10"	"310"	2	0.0101010101010101
"Olur11"	"138"	4	0.02
"Olur11"	"141"	43	0.215
"Olur11"	"144"	56	0.28
"Olur11"	"150"	2	0.01
"Olur11"	"153"	12	0.06
"Olur11"	"156"	1	0.005
"Olur11"	"159"	4	0.02
"Olur11"	"162"	68	0.34
"Olur11"	"165"	4	0.02
"Olur11"	"168"	2	0.01
"Olur11"	"171"	2	0.01
"Olur11"	"174"	2	0.01
"Olur12"	"179"	40	0.2
"Olur12"	"182"	3	0.015
"Olur12"	"239"	2	0.01
"Olur12"	"251"	8	0.04
"Olur12"	"254"	44	0.22
"Olur12"	"257"	12	0.06
"Olur12"	"260"	25	0.125
"Olur12"	"263"	6	0.03
"Olur12"	"266"	50	0.25
"Olur12"	"269"	6	0.03
"Olur12"	"272"	2	0.01
"Olur12"	"278"	2	0.01
"Olur13"	"239"	15	0.075
"Olur13"	"243"	11	0.055
"Olur13"	"247"	18	0.09
"Olur13"	"251"	3	0.015
"Olur13"	"255"	6	0.03
"Olur13"	"259"	7	0.035
"Olur13"	"263"	10	0.05
"Olur13"	"267"	15	0.075
"Olur13"	"271"	11	0.055
"Olur13"	"275"	9	0.045
"Olur13"	"279"	17	0.085
"Olur13"	"283"	16	0.08
"Olur13"	"287"	17	0.085
"Olur13"	"291"	19	0.095
"Olur13"	"295"	12	0.06
"Olur13"	"299"	7	0.035
"Olur13"	"303"	3	0.015
"Olur13"	"307"	4	0.02
"Olur15"	"157"	15	0.0757575757575758
