6,200,2,,,,,,,,,,,
,,,,,,,,,,,,,
Sample,Population,Olur10,Olur10,Olur11,Olur11,Olur12,Olur12,Olur13,Olur13,Olur15,Olur15,Olur19,Olur19
1-W,NFW-2017,214,238,140,162,250,266,253,253,175,175,225,225
2-W,NFW-2017,214,304,140,140,178,268,257,261,177,181,229,233
3-W,NFW-2017,210,276,162,162,178,254,253,277,175,197,225,249
4-W,NFW-2017,282,286,140,162,178,262,237,289,157,209,209,261
5-W,NFW-2017,202,240,144,139,256,266,257,273,177,193,229,245
6-W,NFW-2017,250,286,162,139,262,266,277,293,197,213,249,265
7-W,NFW-2017,214,288,162,162,254,254,241,249,161,169,213,221
8-W,NFW-2017,246,250,152,152,254,268,241,249,161,169,213,221
9-W,NFW-2017,240,256,158,162,260,266,257,285,177,205,229,257
10-W,NFW-2017,250,292,140,140,254,260,245,285,165,205,217,257
11-W,NFW-2017,214,238,136,144,260,260,249,281,169,201,221,253
12-W,NFW-2017,214,304,144,162,266,266,281,285,201,205,253,257
13-W,NFW-2017,220,280,162,171,252,262,265,289,185,209,237,261
14-W,NFW-2017,214,232,140,140,182,250,257,277,177,197,229,249
15-W,NFW-2017,238,276,140,162,262,266,237,285,157,205,209,257
16-W,NFW-2017,232,244,162,135,256,272,261,281,181,201,233,253
17-W,NFW-2017,214,292,144,162,250,260,273,285,193,205,245,257
18-W,NFW-2017,226,232,144,162,268,268,245,293,165,213,217,265
19-W,NFW-2017,210,286,144,162,178,250,241,289,161,209,213,261
20-W,NFW-2017,214,274,140,162,178,178,257,281,177,201,229,253
21-W,NFW-2017,214,274,144,162,178,266,253,261,175,181,225,233
22-W,NFW-2017,214,292,140,162,260,266,249,285,169,205,221,257
23-W,NFW-2017,214,270,140,162,178,260,269,281,189,201,241,253
24-W,NFW-2017,234,274,144,162,254,260,237,245,157,165,209,217
25-W,NFW-2017,234,274,144,144,182,254,253,273,175,193,225,245
26-W,NFW-2017,214,214,162,162,250,260,249,253,169,175,221,225
27-W,NFW-2017,240,298,144,158,178,262,257,265,177,185,229,237
28-W,NFW-2017,274,276,136,162,178,266,269,285,189,205,241,257
29-W,NFW-2017,240,274,140,140,178,178,253,281,175,201,225,253
30-W,NFW-2017,292,298,144,152,254,260,293,293,213,213,265,265
31-W,NFW-2017,238,276,144,152,178,268,249,277,169,197,221,249
32-W,NFW-2017,226,270,144,162,178,178,257,273,177,193,229,245
33-W,NFW-2017,244,300,162,162,250,254,257,285,177,205,229,257
34-W,NFW-2017,214,306,144,162,250,260,245,265,165,185,217,237
35-W,NFW-2017,0,0,162,162,266,266,257,273,177,193,229,245
36-W,NFW-2017,228,282,162,162,260,266,277,289,197,209,249,261
37-W,NFW-2017,214,274,140,144,178,266,257,301,177,221,229,273
38-W,NFW-2017,210,250,152,162,262,272,257,285,177,205,229,257
39-W,NFW-2017,232,300,158,162,178,272,281,293,201,213,253,265
40-W,NFW-2017,214,270,144,162,178,260,257,261,177,181,229,233
41-W,NFW-2017,214,274,140,144,260,266,253,285,175,205,225,257
42-W,NFW-2017,274,282,140,162,250,254,237,261,157,181,209,233
43-W,NFW-2017,282,306,144,162,178,266,285,289,205,209,257,261
44-W,NFW-2017,238,292,158,162,266,272,253,273,175,193,225,245
45-W,NFW-2017,238,274,144,162,254,268,273,277,193,197,245,249
46-W,NFW-2017,214,294,158,158,178,266,277,289,197,209,249,261
47-W,NFW-2017,214,300,144,162,178,268,257,281,177,201,229,253
48-W,NFW-2017,238,268,140,144,182,260,253,285,175,205,225,257
